UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,machine_id
2239,L49418,L,299.3,308.6,1474,49.6,191,0,0,0,0,0,0,2024-04-03 06:00:00,L49418
2240,L49419,L,299.2,308.6,1381,50.0,193,0,0,0,0,0,0,2024-04-03 07:00:00,L49419
2241,L49420,L,299.2,308.5,1457,44.7,195,0,0,0,0,0,0,2024-04-03 08:00:00,L49420
2242,L49421,L,299.2,308.4,1711,28.9,197,0,0,0,0,0,0,2024-04-03 09:00:00,L49421
2243,L49422,L,299.2,308.4,1667,29.0,199,0,0,0,0,0,0,2024-04-03 10:00:00,L49422
2244,L49423,L,299.2,308.4,1465,35.0,201,0,0,0,0,0,0,2024-04-03 11:00:00,L49423
2247,L49426,L,299.3,308.4,1406,47.4,3,0,0,0,0,0,0,2024-04-03 14:00:00,L49426
2250,L49429,L,299.2,308.5,1442,46.5,11,0,0,0,0,0,0,2024-04-03 17:00:00,L49429
2254,L49433,L,299.2,308.4,1386,54.1,26,0,0,0,0,0,0,2024-04-03 21:00:00,L49433
2255,L49434,L,299.1,308.3,1325,46.9,28,0,0,0,0,0,0,2024-04-03 22:00:00,L49434
2256,L49435,L,299.1,308.3,1559,33.7,30,0,0,0,0,0,0,2024-04-03 23:00:00,L49435
2257,L49436,L,299.1,308.3,1489,38.1,32,0,0,0,0,0,0,2024-04-04 00:00:00,L49436
2258,L49437,L,299.1,308.3,1892,25.2,34,0,0,0,0,0,0,2024-04-04 01:00:00,L49437
2259,L49438,L,299.1,308.2,1319,60.3,36,0,0,0,0,0,0,2024-04-04 02:00:00,L49438
2260,L49439,L,299.1,308.3,1431,52.3,38,0,0,0,0,0,0,2024-04-04 03:00:00,L49439
2263,L49442,L,299.1,308.3,1533,42.4,48,0,0,0,0,0,0,2024-04-04 06:00:00,L49442
2267,L49446,L,299.2,308.5,1381,60.6,59,0,0,0,0,0,0,2024-04-04 10:00:00,L49446
2268,L49447,L,299.2,308.5,1370,52.4,61,0,0,0,0,0,0,2024-04-04 11:00:00,L49447
2269,L49448,L,299.2,308.5,1438,46.6,63,0,0,0,0,0,0,2024-04-04 12:00:00,L49448
2270,L49449,L,299.3,308.6,1314,48.2,65,0,0,0,0,0,0,2024-04-04 13:00:00,L49449
2271,L49450,L,299.3,308.6,1437,48.1,67,0,0,0,0,0,0,2024-04-04 14:00:00,L49450
2272,L49451,L,299.2,308.5,1821,26.1,69,0,0,0,0,0,0,2024-04-04 15:00:00,L49451
2274,L49453,L,299.3,308.5,1589,32.7,74,0,0,0,0,0,0,2024-04-04 17:00:00,L49453
2275,L49454,L,299.3,308.6,1520,33.7,76,0,0,0,0,0,0,2024-04-04 18:00:00,L49454
2276,L49455,L,299.3,308.6,1605,37.0,78,0,0,0,0,0,0,2024-04-04 19:00:00,L49455
2277,L49456,L,299.3,308.7,1393,54.2,80,0,0,0,0,0,0,2024-04-04 20:00:00,L49456
2280,L49459,L,299.4,308.7,1525,39.0,90,0,0,0,0,0,0,2024-04-04 23:00:00,L49459
2281,L49460,L,299.4,308.8,1390,57.0,92,0,0,0,0,0,0,2024-04-05 00:00:00,L49460
2282,L49461,L,299.3,308.7,1536,38.9,94,0,0,0,0,0,0,2024-04-05 01:00:00,L49461
2283,L49462,L,299.4,308.7,1459,47.6,96,0,0,0,0,0,0,2024-04-05 02:00:00,L49462
2284,L49463,L,299.2,308.5,1387,51.1,98,0,0,0,0,0,0,2024-04-05 03:00:00,L49463
2285,L49464,L,299.2,308.5,1378,53.4,100,0,0,0,0,0,0,2024-04-05 04:00:00,L49464
2286,L49465,L,299.4,308.7,1381,56.7,102,0,0,0,0,0,0,2024-04-05 05:00:00,L49465
2288,L49467,L,299.4,308.6,1746,26.8,107,0,0,0,0,0,0,2024-04-05 07:00:00,L49467
2290,L49469,L,299.4,308.7,1504,37.8,112,0,0,0,0,0,0,2024-04-05 09:00:00,L49469
2293,L49472,L,299.6,308.9,1422,53.2,120,0,0,0,0,0,0,2024-04-05 12:00:00,L49472
2294,L49473,L,299.5,308.9,1520,38.3,122,0,0,0,0,0,0,2024-04-05 13:00:00,L49473
2295,L49474,L,299.4,308.8,1627,32.6,124,0,0,0,0,0,0,2024-04-05 14:00:00,L49474
2296,L49475,L,299.4,308.7,1512,37.2,126,0,0,0,0,0,0,2024-04-05 15:00:00,L49475
2297,L49476,L,299.4,308.7,1553,42.7,128,0,0,0,0,0,0,2024-04-05 16:00:00,L49476
2298,L49477,L,299.3,308.7,1802,26.0,130,0,0,0,0,0,0,2024-04-05 17:00:00,L49477
2299,L49478,L,299.3,308.6,1482,37.6,132,0,0,0,0,0,0,2024-04-05 18:00:00,L49478
2300,L49479,L,299.4,308.7,1446,62.9,134,1,0,0,1,0,0,2024-04-05 19:00:00,L49479
2301,L49480,L,299.3,308.6,1371,50.5,136,0,0,0,0,0,0,2024-04-05 20:00:00,L49480
2303,L49482,L,299.2,308.5,1515,39.8,141,0,0,0,0,0,0,2024-04-05 22:00:00,L49482
2304,L49483,L,299.2,308.5,1374,53.6,143,0,0,0,0,0,0,2024-04-05 23:00:00,L49483
2305,L49484,L,299.1,308.5,1455,39.8,145,0,0,0,0,0,0,2024-04-06 00:00:00,L49484
2307,L49486,L,299.1,308.6,1260,57.8,152,0,0,0,0,0,0,2024-04-06 02:00:00,L49486
2309,L49488,L,299.1,308.5,1371,55.5,159,0,0,0,0,0,0,2024-04-06 04:00:00,L49488
2310,L49489,L,299.1,308.6,1611,31.4,161,0,0,0,0,0,0,2024-04-06 05:00:00,L49489
2315,L49494,L,299.2,308.9,1368,47.2,175,0,0,0,0,0,0,2024-04-06 10:00:00,L49494
2316,L49495,L,299.2,308.9,1526,37.9,177,0,0,0,0,0,0,2024-04-06 11:00:00,L49495
2317,L49496,L,299.2,308.8,1542,39.2,179,0,0,0,0,0,0,2024-04-06 12:00:00,L49496
2318,L49497,L,299.2,308.8,1605,31.1,181,0,0,0,0,0,0,2024-04-06 13:00:00,L49497
2319,L49498,L,299.2,308.8,1405,51.4,183,0,0,0,0,0,0,2024-04-06 14:00:00,L49498
2323,L49502,L,299.2,308.7,1514,41.9,196,0,0,0,0,0,0,2024-04-06 18:00:00,L49502
2325,L49504,L,299.3,308.8,1636,29.9,201,0,0,0,0,0,0,2024-04-06 20:00:00,L49504
2326,L49505,L,299.3,308.8,1603,33.9,203,0,0,0,0,0,0,2024-04-06 21:00:00,L49505
2329,L49508,L,299.3,308.7,1579,36.3,211,0,0,0,0,0,0,2024-04-07 00:00:00,L49508
2330,L49509,L,299.3,308.7,1484,40.5,213,0,0,0,0,0,0,2024-04-07 01:00:00,L49509
2332,L49511,L,299.3,308.6,1384,53.6,218,1,0,0,0,1,0,2024-04-07 03:00:00,L49511
2333,L49512,L,299.2,308.5,1378,50.4,220,1,0,0,0,1,0,2024-04-07 04:00:00,L49512
2334,L49513,L,299.2,308.5,1445,45.2,222,0,0,0,0,0,0,2024-04-07 05:00:00,L49513
2335,L49514,L,299.2,308.4,1445,43.5,224,0,0,0,0,0,0,2024-04-07 06:00:00,L49514
2336,L49515,L,299.2,308.4,1509,39.4,0,0,0,0,0,0,0,2024-04-07 07:00:00,L49515
2337,L49516,L,299.2,308.4,1434,46.8,2,0,0,0,0,0,0,2024-04-07 08:00:00,L49516
2338,L49517,L,299.2,308.4,1877,23.9,4,0,0,0,0,0,0,2024-04-07 09:00:00,L49517
2339,L49518,L,299.3,308.3,1651,28.0,6,0,0,0,0,0,0,2024-04-07 10:00:00,L49518
2340,L49519,L,299.2,308.2,1466,41.3,8,0,0,0,0,0,0,2024-04-07 11:00:00,L49519
2341,L49520,L,299.1,308.1,1479,40.7,10,0,0,0,0,0,0,2024-04-07 12:00:00,L49520
2342,L49521,L,299.1,308.2,1409,46.4,12,0,0,0,0,0,0,2024-04-07 13:00:00,L49521
2344,L49523,L,299.1,308.3,1305,61.4,17,0,0,0,0,0,0,2024-04-07 15:00:00,L49523
2346,L49525,L,299.2,308.4,1475,38.7,22,0,0,0,0,0,0,2024-04-07 17:00:00,L49525
2347,L49526,L,299.2,308.4,1402,47.7,24,0,0,0,0,0,0,2024-04-07 18:00:00,L49526
2348,L49527,L,299.2,308.3,1410,43.0,26,0,0,0,0,0,0,2024-04-07 19:00:00,L49527
2349,L49528,L,299.2,308.4,1436,41.8,28,0,0,0,0,0,0,2024-04-07 20:00:00,L49528
2351,L49530,L,299.3,308.6,1744,26.4,33,0,0,0,0,0,0,2024-04-07 22:00:00,L49530
2352,L49531,L,299.2,308.4,1393,48.4,35,0,0,0,0,0,0,2024-04-07 23:00:00,L49531
2354,L49533,L,299.2,308.4,1841,22.8,40,0,0,0,0,0,0,2024-04-08 01:00:00,L49533
2355,L49534,L,299.3,308.6,1433,37.7,42,0,0,0,0,0,0,2024-04-08 02:00:00,L49534
2358,L49537,L,299.3,308.5,1772,26.1,52,0,0,0,0,0,0,2024-04-08 05:00:00,L49537
2360,L49539,L,299.3,308.5,1413,38.5,57,0,0,0,0,0,0,2024-04-08 07:00:00,L49539
2364,L49543,L,299.3,308.5,1510,45.4,72,0,0,0,0,0,0,2024-04-08 11:00:00,L49543
2365,L49544,L,299.2,308.5,1366,49.7,74,0,0,0,0,0,0,2024-04-08 12:00:00,L49544
2366,L49545,L,299.4,308.5,1845,22.9,76,0,0,0,0,0,0,2024-04-08 13:00:00,L49545
2367,L49546,L,299.3,308.5,1485,44.7,78,0,0,0,0,0,0,2024-04-08 14:00:00,L49546
2371,L49550,L,299.2,308.4,1620,34.1,89,0,0,0,0,0,0,2024-04-08 18:00:00,L49550
2372,L49551,L,299.3,308.5,1409,44.8,91,0,0,0,0,0,0,2024-04-08 19:00:00,L49551
2374,L49553,L,299.2,308.4,1350,51.3,96,0,0,0,0,0,0,2024-04-08 21:00:00,L49553
2379,L49558,L,299.1,308.2,1348,56.1,110,0,0,0,0,0,0,2024-04-09 02:00:00,L49558
2381,L49560,L,299.0,308.1,1242,60.9,117,0,0,0,0,0,0,2024-04-09 04:00:00,L49560
2382,L49561,L,299.1,308.2,1493,34.9,119,0,0,0,0,0,0,2024-04-09 05:00:00,L49561
2383,L49562,L,299.1,308.3,1601,31.4,121,0,0,0,0,0,0,2024-04-09 06:00:00,L49562
2384,L49563,L,299.1,308.2,1568,33.3,123,0,0,0,0,0,0,2024-04-09 07:00:00,L49563
2386,L49565,L,299.1,308.3,1524,34.1,128,0,0,0,0,0,0,2024-04-09 09:00:00,L49565
2387,L49566,L,299.1,308.4,1543,37.9,130,0,0,0,0,0,0,2024-04-09 10:00:00,L49566
2390,L49569,L,299.2,308.5,1867,27.0,138,0,0,0,0,0,0,2024-04-09 13:00:00,L49569
2391,L49570,L,299.2,308.5,1487,41.2,140,0,0,0,0,0,0,2024-04-09 14:00:00,L49570
2392,L49571,L,299.2,308.4,1580,32.6,142,0,0,0,0,0,0,2024-04-09 15:00:00,L49571
2393,L49572,L,299.2,308.5,1340,50.0,144,0,0,0,0,0,0,2024-04-09 16:00:00,L49572
2394,L49573,L,299.2,308.5,1544,41.6,146,0,0,0,0,0,0,2024-04-09 17:00:00,L49573
2395,L49574,L,299.2,308.5,1488,40.3,148,0,0,0,0,0,0,2024-04-09 18:00:00,L49574
2398,L49577,L,299.2,308.6,1582,38.8,156,0,0,0,0,0,0,2024-04-09 21:00:00,L49577
2399,L49578,L,299.2,308.5,1490,43.2,158,0,0,0,0,0,0,2024-04-09 22:00:00,L49578
2403,L49582,L,299.2,308.7,1325,51.0,171,0,0,0,0,0,0,2024-04-10 02:00:00,L49582
2406,L49585,L,299.1,308.7,1498,38.9,181,0,0,0,0,0,0,2024-04-10 05:00:00,L49585
2407,L49586,L,299.1,308.6,1437,41.6,183,0,0,0,0,0,0,2024-04-10 06:00:00,L49586
2409,L49588,L,299.0,308.4,1356,52.6,188,0,0,0,0,0,0,2024-04-10 08:00:00,L49588
2410,L49589,L,299.1,308.5,1539,46.8,190,0,0,0,0,0,0,2024-04-10 09:00:00,L49589
2411,L49590,L,299.1,308.5,1689,32.1,192,0,0,0,0,0,0,2024-04-10 10:00:00,L49590
2412,L49591,L,299.0,308.5,1559,38.1,194,0,0,0,0,0,0,2024-04-10 11:00:00,L49591
2413,L49592,L,299.1,308.6,1408,46.7,196,0,0,0,0,0,0,2024-04-10 12:00:00,L49592
2414,L49593,L,299.0,308.5,1886,23.0,198,0,0,0,0,0,0,2024-04-10 13:00:00,L49593
2415,L49594,L,299.1,308.5,1415,43.4,0,0,0,0,0,0,0,2024-04-10 14:00:00,L49594
2417,L49596,L,299.0,308.4,1571,38.6,5,0,0,0,0,0,0,2024-04-10 16:00:00,L49596
2418,L49597,L,298.9,308.3,1576,36.6,7,0,0,0,0,0,0,2024-04-10 17:00:00,L49597
2419,L49598,L,298.9,308.3,1660,34.4,9,0,0,0,0,0,0,2024-04-10 18:00:00,L49598
2422,L49601,L,298.9,308.2,2384,15.0,19,0,0,0,0,0,0,2024-04-10 21:00:00,L49601
2423,L49602,L,298.8,308.2,1443,53.4,21,0,0,0,0,0,0,2024-04-10 22:00:00,L49602
2425,L49604,L,298.9,308.2,1828,23.8,26,0,0,0,0,0,0,2024-04-11 00:00:00,L49604
2426,L49605,L,298.8,308.1,1472,53.5,28,0,0,0,0,0,0,2024-04-11 01:00:00,L49605
2428,L49607,L,298.9,308.3,1855,23.8,33,0,0,0,0,0,0,2024-04-11 03:00:00,L49607
2430,L49609,L,298.9,308.3,1432,48.9,38,0,0,0,0,0,0,2024-04-11 05:00:00,L49609
2433,L49612,L,298.9,308.2,1510,43.5,46,0,0,0,0,0,0,2024-04-11 08:00:00,L49612
2434,L49613,L,299.0,308.3,1441,44.0,48,0,0,0,0,0,0,2024-04-11 09:00:00,L49613
2436,L49615,L,298.9,308.2,1686,30.4,53,0,0,0,0,0,0,2024-04-11 11:00:00,L49615
2438,L49617,L,299.1,308.3,1426,40.1,60,0,0,0,0,0,0,2024-04-11 13:00:00,L49617
2440,L49619,L,299.1,308.4,1693,31.6,65,0,0,0,0,0,0,2024-04-11 15:00:00,L49619
2441,L49620,L,299.1,308.4,1426,47.9,67,0,0,0,0,0,0,2024-04-11 16:00:00,L49620
2442,L49621,L,299.1,308.5,1676,31.0,69,0,0,0,0,0,0,2024-04-11 17:00:00,L49621
2444,L49623,L,299.1,308.5,1647,35.0,74,0,0,0,0,0,0,2024-04-11 19:00:00,L49623
2445,L49624,L,299.2,308.6,1267,68.2,76,1,0,0,1,0,0,2024-04-11 20:00:00,L49624
2447,L49626,L,299.3,308.6,1422,48.9,83,0,0,0,0,0,0,2024-04-11 22:00:00,L49626
2448,L49627,L,299.3,308.7,1408,48.7,85,0,0,0,0,0,0,2024-04-11 23:00:00,L49627
2449,L49628,L,299.4,308.9,1440,42.5,87,0,0,0,0,0,0,2024-04-12 00:00:00,L49628
2450,L49629,L,299.3,308.8,1772,25.2,89,0,0,0,0,0,0,2024-04-12 01:00:00,L49629
2451,L49630,L,299.2,308.7,1492,37.8,91,0,0,0,0,0,0,2024-04-12 02:00:00,L49630
2452,L49631,L,299.2,308.7,1650,30.5,93,0,0,0,0,0,0,2024-04-12 03:00:00,L49631
2454,L49633,L,299.0,308.6,1648,30.8,98,0,0,0,0,0,0,2024-04-12 05:00:00,L49633
2455,L49634,L,299.0,308.6,1653,31.7,100,0,0,0,0,0,0,2024-04-12 06:00:00,L49634
2456,L49635,L,299.0,308.6,1946,22.3,102,0,0,0,0,0,0,2024-04-12 07:00:00,L49635
2457,L49636,L,299.1,308.6,1555,36.6,104,0,0,0,0,0,0,2024-04-12 08:00:00,L49636
2458,L49637,L,299.0,308.6,1661,32.2,106,0,0,0,0,0,0,2024-04-12 09:00:00,L49637
2459,L49638,L,299.0,308.6,1434,45.9,108,0,0,0,0,0,0,2024-04-12 10:00:00,L49638
2460,L49639,L,299.0,308.6,1297,54.2,110,0,0,0,0,0,0,2024-04-12 11:00:00,L49639
2461,L49640,L,299.0,308.6,1466,46.4,112,0,0,0,0,0,0,2024-04-12 12:00:00,L49640
2463,L49642,L,298.9,308.5,1742,34.5,117,0,0,0,0,0,0,2024-04-12 14:00:00,L49642
2464,L49643,L,298.9,308.5,1580,39.1,119,0,0,0,0,0,0,2024-04-12 15:00:00,L49643
2466,L49645,L,298.9,308.6,1481,40.7,124,0,0,0,0,0,0,2024-04-12 17:00:00,L49645
2467,L49646,L,299.0,308.6,1429,37.7,126,0,0,0,0,0,0,2024-04-12 18:00:00,L49646
2470,L49649,L,299.0,308.7,1507,37.5,134,0,0,0,0,0,0,2024-04-12 21:00:00,L49649
2471,L49650,L,298.9,308.5,1467,44.7,136,0,0,0,0,0,0,2024-04-12 22:00:00,L49650
2472,L49651,L,298.9,308.4,1301,51.1,138,0,0,0,0,0,0,2024-04-12 23:00:00,L49651
2473,L49652,L,298.9,308.5,1429,55.1,140,0,0,0,0,0,0,2024-04-13 00:00:00,L49652
2475,L49654,L,298.9,308.5,1503,40.6,145,0,0,0,0,0,0,2024-04-13 02:00:00,L49654
2476,L49655,L,298.9,308.5,1459,43.1,147,0,0,0,0,0,0,2024-04-13 03:00:00,L49655
2478,L49657,L,298.9,308.5,1387,57.3,154,0,0,0,0,0,0,2024-04-13 05:00:00,L49657
2480,L49659,L,299.0,308.5,1604,34.7,159,0,0,0,0,0,0,2024-04-13 07:00:00,L49659
2481,L49660,L,299.0,308.6,1734,32.4,161,0,0,0,0,0,0,2024-04-13 08:00:00,L49660
2482,L49661,L,299.0,308.6,1378,47.8,163,0,0,0,0,0,0,2024-04-13 09:00:00,L49661
2483,L49662,L,298.9,308.7,1504,41.8,165,0,0,0,0,0,0,2024-04-13 10:00:00,L49662
2486,L49665,L,298.8,308.6,1593,35.5,175,0,0,0,0,0,0,2024-04-13 13:00:00,L49665
2489,L49668,L,298.9,308.7,1356,50.7,185,0,0,0,0,0,0,2024-04-13 16:00:00,L49668
2492,L49671,L,299.1,308.9,1445,43.4,197,0,0,0,0,0,0,2024-04-13 19:00:00,L49671
2495,L49674,L,299.1,308.8,1329,53.6,207,1,0,0,0,1,0,2024-04-13 22:00:00,L49674
2499,L49678,L,299.1,308.9,1467,47.2,218,0,0,0,0,0,0,2024-04-14 02:00:00,L49678
2501,L49680,L,299.1,308.9,1617,32.3,223,0,0,0,0,0,0,2024-04-14 04:00:00,L49680
2503,L49682,L,299.2,309.0,1515,48.9,228,1,0,0,0,1,0,2024-04-14 06:00:00,L49682
2504,L49683,L,299.2,309.0,1408,47.2,0,0,0,0,0,0,0,2024-04-14 07:00:00,L49683
2505,L49684,L,299.2,309.1,1468,45.6,2,0,0,0,0,0,0,2024-04-14 08:00:00,L49684
2506,L49685,L,299.2,309.1,1387,48.7,4,0,0,0,0,0,0,2024-04-14 09:00:00,L49685
2509,L49688,L,299.0,308.9,1615,30.6,14,0,0,0,0,0,0,2024-04-14 12:00:00,L49688
2510,L49689,L,299.0,308.9,1511,35.9,16,0,0,0,0,0,0,2024-04-14 13:00:00,L49689
2511,L49690,L,299.1,309.0,1405,53.8,18,0,0,0,0,0,0,2024-04-14 14:00:00,L49690
2513,L49692,L,298.9,308.8,1530,38.3,23,0,0,0,0,0,0,2024-04-14 16:00:00,L49692
2514,L49693,L,299.0,308.7,1583,32.5,25,0,0,0,0,0,0,2024-04-14 17:00:00,L49693
2515,L49694,L,298.9,308.6,2069,18.7,27,0,0,0,0,0,0,2024-04-14 18:00:00,L49694
2516,L49695,L,298.8,308.5,1490,35.0,29,0,0,0,0,0,0,2024-04-14 19:00:00,L49695
2517,L49696,L,298.8,308.5,1736,29.0,31,0,0,0,0,0,0,2024-04-14 20:00:00,L49696
2518,L49697,L,298.8,308.5,1395,44.4,33,0,0,0,0,0,0,2024-04-14 21:00:00,L49697
2520,L49699,L,298.8,308.6,1631,32.4,38,0,0,0,0,0,0,2024-04-14 23:00:00,L49699
2521,L49700,L,298.8,308.6,1535,41.2,40,0,0,0,0,0,0,2024-04-15 00:00:00,L49700
2522,L49701,L,298.8,308.6,1584,34.4,42,0,0,0,0,0,0,2024-04-15 01:00:00,L49701
2524,L49703,L,298.8,308.7,1635,35.2,47,0,0,0,0,0,0,2024-04-15 03:00:00,L49703
2527,L49706,L,298.8,308.6,1501,35.0,55,0,0,0,0,0,0,2024-04-15 06:00:00,L49706
2528,L49707,L,298.8,308.5,1450,50.8,57,0,0,0,0,0,0,2024-04-15 07:00:00,L49707
2529,L49708,L,298.8,308.6,1730,25.9,59,0,0,0,0,0,0,2024-04-15 08:00:00,L49708
2531,L49710,L,298.9,308.7,1438,51.7,64,0,0,0,0,0,0,2024-04-15 10:00:00,L49710
2533,L49712,L,298.9,308.7,1389,44.9,69,0,0,0,0,0,0,2024-04-15 12:00:00,L49712
2534,L49713,L,298.8,308.7,1490,33.6,71,0,0,0,0,0,0,2024-04-15 13:00:00,L49713
2535,L49714,L,298.9,308.7,1729,26.6,73,0,0,0,0,0,0,2024-04-15 14:00:00,L49714
2536,L49715,L,299.0,308.8,1495,38.4,75,0,0,0,0,0,0,2024-04-15 15:00:00,L49715
2537,L49716,L,298.9,308.8,1281,53.9,77,0,0,0,0,0,0,2024-04-15 16:00:00,L49716
2539,L49718,L,299.1,308.8,1429,50.1,84,0,0,0,0,0,0,2024-04-15 18:00:00,L49718
2540,L49719,L,299.1,308.8,1413,42.1,86,0,0,0,0,0,0,2024-04-15 19:00:00,L49719
2541,L49720,L,299.1,308.8,1502,38.3,88,0,0,0,0,0,0,2024-04-15 20:00:00,L49720
2544,L49723,L,299.3,309.0,1786,23.5,100,0,0,0,0,0,0,2024-04-15 23:00:00,L49723
2545,L49724,L,299.2,309.0,1951,21.4,102,0,0,0,0,0,0,2024-04-16 00:00:00,L49724
2547,L49726,L,299.2,309.1,1605,34.3,107,0,0,0,0,0,0,2024-04-16 02:00:00,L49726
2548,L49727,L,299.2,309.1,1578,38.1,109,0,0,0,0,0,0,2024-04-16 03:00:00,L49727
2550,L49729,L,299.4,309.2,1489,42.3,114,0,0,0,0,0,0,2024-04-16 05:00:00,L49729
2551,L49730,L,299.4,309.3,1366,48.4,116,0,0,0,0,0,0,2024-04-16 06:00:00,L49730
2552,L49731,L,299.3,309.2,1541,37.2,118,0,0,0,0,0,0,2024-04-16 07:00:00,L49731
2554,L49733,L,299.3,309.1,1473,40.3,125,0,0,0,0,0,0,2024-04-16 09:00:00,L49733
2555,L49734,L,299.3,309.1,1531,37.9,127,0,0,0,0,0,0,2024-04-16 10:00:00,L49734
2556,L49735,L,299.3,309.2,1511,37.2,129,0,0,0,0,0,0,2024-04-16 11:00:00,L49735
2560,L49739,L,299.3,309.0,1447,50.4,140,0,0,0,0,0,1,2024-04-16 15:00:00,L49739
2562,L49741,L,299.4,309.2,1607,31.7,145,0,0,0,0,0,0,2024-04-16 17:00:00,L49741
2563,L49742,L,299.3,309.1,1551,39.1,147,0,0,0,0,0,0,2024-04-16 18:00:00,L49742
2564,L49743,L,299.3,309.1,1496,37.2,149,0,0,0,0,0,0,2024-04-16 19:00:00,L49743
2565,L49744,L,299.3,309.1,1493,38.0,151,0,0,0,0,0,0,2024-04-16 20:00:00,L49744
2566,L49745,L,299.4,309.1,1304,50.5,153,0,0,0,0,0,0,2024-04-16 21:00:00,L49745
2568,L49747,L,299.4,309.1,1766,24.6,158,0,0,0,0,0,0,2024-04-16 23:00:00,L49747
2569,L49748,L,299.6,309.2,1450,43.1,160,0,0,0,0,0,0,2024-04-17 00:00:00,L49748
2571,L49750,L,299.6,309.2,1713,26.5,167,0,0,0,0,0,0,2024-04-17 02:00:00,L49750
2574,L49753,L,299.5,309.2,1499,41.5,175,0,0,0,0,0,0,2024-04-17 05:00:00,L49753
2575,L49754,L,299.5,309.3,1972,19.3,177,0,0,0,0,0,0,2024-04-17 06:00:00,L49754
2576,L49755,L,299.5,309.3,1422,49.2,179,0,0,0,0,0,0,2024-04-17 07:00:00,L49755
2577,L49756,L,299.5,309.3,1523,41.5,181,0,0,0,0,0,0,2024-04-17 08:00:00,L49756
2578,L49757,L,299.5,309.4,1563,41.5,183,0,0,0,0,0,0,2024-04-17 09:00:00,L49757
2579,L49758,L,299.4,309.3,1391,46.6,185,0,0,0,0,0,0,2024-04-17 10:00:00,L49758
2580,L49759,L,299.3,309.1,1795,24.7,187,0,0,0,0,0,0,2024-04-17 11:00:00,L49759
2581,L49760,L,299.3,309.1,1293,53.7,189,0,0,0,0,0,0,2024-04-17 12:00:00,L49760
2582,L49761,L,299.2,309.1,1345,60.7,191,1,0,0,0,1,0,2024-04-17 13:00:00,L49761
2583,L49762,L,299.2,309.0,1615,33.7,193,0,0,0,0,0,0,2024-04-17 14:00:00,L49762
2584,L49763,L,299.2,308.9,1342,50.8,195,0,0,0,0,0,0,2024-04-17 15:00:00,L49763
2585,L49764,L,299.1,308.8,1502,46.7,197,0,0,0,0,0,0,2024-04-17 16:00:00,L49764
2587,L49766,L,299.0,308.7,1537,42.8,202,0,0,0,0,0,0,2024-04-17 18:00:00,L49766
2588,L49767,L,299.0,308.7,2248,16.8,204,0,0,0,0,0,0,2024-04-17 19:00:00,L49767
2589,L49768,L,299.0,308.7,1706,28.6,206,0,0,0,0,0,0,2024-04-17 20:00:00,L49768
2590,L49769,L,299.0,308.7,2250,16.6,208,0,0,0,0,0,0,2024-04-17 21:00:00,L49769
2591,L49770,L,299.0,308.7,1396,48.6,0,0,0,0,0,0,0,2024-04-17 22:00:00,L49770
2592,L49771,L,298.9,308.6,1522,46.4,2,0,0,0,0,0,0,2024-04-17 23:00:00,L49771
2593,L49772,L,298.9,308.6,1539,45.4,4,0,0,0,0,0,0,2024-04-18 00:00:00,L49772
2595,L49774,L,298.8,308.5,1446,37.0,11,0,0,0,0,0,0,2024-04-18 02:00:00,L49774
2597,L49776,L,299.0,308.7,1426,38.6,16,0,0,0,0,0,0,2024-04-18 04:00:00,L49776
2598,L49777,L,299.0,308.7,1449,38.9,18,0,0,0,0,0,0,2024-04-18 05:00:00,L49777
2599,L49778,L,299.1,308.8,1320,67.5,20,1,0,0,1,0,0,2024-04-18 06:00:00,L49778
2601,L49780,L,299.3,309.0,1422,47.3,25,0,0,0,0,0,0,2024-04-18 08:00:00,L49780
2602,L49781,L,299.3,309.1,1399,52.1,27,0,0,0,0,0,0,2024-04-18 09:00:00,L49781
2603,L49782,L,299.4,309.2,1427,41.5,29,0,0,0,0,0,0,2024-04-18 10:00:00,L49782
2606,L49785,L,299.4,309.2,1552,37.4,37,0,0,0,0,0,0,2024-04-18 13:00:00,L49785
2608,L49787,L,299.4,309.3,1448,48.6,44,0,0,0,0,0,0,2024-04-18 15:00:00,L49787
2609,L49788,L,299.5,309.3,1409,44.7,46,0,0,0,0,0,0,2024-04-18 16:00:00,L49788
2610,L49789,L,299.4,309.2,1621,34.5,48,0,0,0,0,0,0,2024-04-18 17:00:00,L49789
2612,L49791,L,299.4,309.1,1957,22.1,55,0,0,0,0,0,0,2024-04-18 19:00:00,L49791
2613,L49792,L,299.4,309.1,2421,14.2,57,0,0,0,0,0,0,2024-04-18 20:00:00,L49792
2615,L49794,L,299.3,309.1,1634,36.8,62,0,0,0,0,0,0,2024-04-18 22:00:00,L49794
2616,L49795,L,299.3,309.0,1516,38.7,64,0,0,0,0,0,0,2024-04-18 23:00:00,L49795
2617,L49796,L,299.4,309.1,1207,66.5,66,0,0,0,0,0,0,2024-04-19 00:00:00,L49796
2618,L49797,L,299.4,309.1,1670,35.9,68,0,0,0,0,0,0,2024-04-19 01:00:00,L49797
2620,L49799,L,299.4,309.2,1569,40.8,73,0,0,0,0,0,0,2024-04-19 03:00:00,L49799
